Protein	Protein ID	Entry Name	Gene Names	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	RMAHA1 Spectral Count	RMAHA2 Spectral Count	RMAHA3 Spectral Count	RMAHA1 Unique Spectral Count	RMAHA2 Unique Spectral Count	RMAHA3 Unique Spectral Count	RMAHA1 Total Spectral Count	RMAHA2 Total Spectral Count	RMAHA3 Total Spectral Count	RMAHA1 Intensity	RMAHA2 Intensity	RMAHA3 Intensity	RMAHA1 MaxLFQ Intensity	RMAHA2 MaxLFQ Intensity	RMAHA3 MaxLFQ Intensity	Indistinguishable Proteins
tr|A0A094YXH9|A0A094YXH9_9PROT	A0A094YXH9	A0A094YXH9_9PROT	metK	403	Acetobacter tropicalis OX=104102	3:Protein inferred from homology	S-adenosylmethionine synthase	0.9892	0.9984	1	1	0	1	1	0	0	0	0	0	1	0	0	5079026.5	1.12E+07	1.32E+07	0	0	0	"tr|A0A0D6MY47|A0A0D6MY47_ACEAC, tr|A0A0D6N277|A0A0D6N277_9PROT, tr|A0A0J0YS23|A0A0J0YS23_9NEIS, tr|A0A0U5ETP2|A0A0U5ETP2_9PROT, tr|A0A0U5F7G9|A0A0U5F7G9_9PROT, tr|A0A149QN22|A0A149QN22_9PROT, tr|A0A149R8N8|A0A149R8N8_9PROT, tr|A0A149UJW9|A0A149UJW9_9PROT, tr|A0A149UTZ6|A0A149UTZ6_9PROT, tr|A0A149VE23|A0A149VE23_9PROT, tr|A0A177GAE8|A0A177GAE8_9PROT, tr|A0A1A0DCE2|A0A1A0DCE2_ACEPA, tr|A0A1D8QY11|A0A1D8QY11_9PROT, tr|A0A1U9KE66|A0A1U9KE66_ACEAC, tr|A0A1U9LE47|A0A1U9LE47_9PROT, tr|A0A1X3CHB9|A0A1X3CHB9_9NEIS, tr|A0A1X3CSJ9|A0A1X3CSJ9_9NEIS, tr|A0A1X3D529|A0A1X3D529_9NEIS, tr|A0A1X3D5E4|A0A1X3D5E4_9NEIS, tr|A0A1Y0UVZ6|A0A1Y0UVZ6_9PROT, tr|A0A1Y0Y098|A0A1Y0Y098_ACEPA, tr|A0A1Y3FWX6|A0A1Y3FWX6_9PROT, tr|A0A1Y3G7C4|A0A1Y3G7C4_9PROT, tr|A0A1Z5YSZ2|A0A1Z5YSZ2_9PROT, tr|A0A252A1V5|A0A252A1V5_9PROT, tr|A0A252A5B5|A0A252A5B5_9PROT, tr|A0A252AT81|A0A252AT81_9PROT, tr|A0A252B465|A0A252B465_9PROT, tr|A0A252BAQ1|A0A252BAQ1_9PROT, tr|A0A252BY52|A0A252BY52_9PROT, tr|A0A252C5M2|A0A252C5M2_9PROT, tr|A0A269XYG8|A0A269XYG8_9PROT, tr|A0A270BW13|A0A270BW13_9PROT, tr|A0A2G4RFW4|A0A2G4RFW4_9PROT, tr|A0A346DXB4|A0A346DXB4_9PROT, tr|A0A370G9H0|A0A370G9H0_GLULI, tr|A0A401WQD8|A0A401WQD8_ACEPA, tr|A0A401X015|A0A401X015_ACEPA, tr|A0A401X9Y8|A0A401X9Y8_ACEPA, tr|A0A4Y3TN11|A0A4Y3TN11_9PROT, tr|A0A4Y3TTR6|A0A4Y3TTR6_9PROT, tr|A0A4Y9GI50|A0A4Y9GI50_9NEIS, tr|A0A511FKS9|A0A511FKS9_9PROT, tr|A0A511X5T5|A0A511X5T5_9PROT, tr|A0A511XJI9|A0A511XJI9_9PROT, tr|A0A5B9GEK3|A0A5B9GEK3_9PROT, tr|A0A5C1YLA8|A0A5C1YLA8_9PROT, tr|A0A5J6PSL2|A0A5J6PSL2_9NEIS, tr|A0A5M8ZC80|A0A5M8ZC80_9PROT, tr|A0A6N3T6Y0|A0A6N3T6Y0_9PROT, tr|A0A7D7RPF9|A0A7D7RPF9_9NEIS, tr|A0A7H1MCT1|A0A7H1MCT1_9NEIS, tr|A0A7W4FCH3|A0A7W4FCH3_GLUDI, tr|A0A841QH49|A0A841QH49_9PROT, tr|A0A847KSB5|A0A847KSB5_9PROT, tr|A0A8T9MG62|A0A8T9MG62_9NEIS, tr|F1YV05|F1YV05_9PROT, tr|F7VBU4|F7VBU4_9PROT, tr|G4CI06|G4CI06_9NEIS"
tr|A0A095UDK9|A0A095UDK9_9BURK	A0A095UDK9	A0A095UDK9_9BURK	glnA	470	Achromobacter sp. RTa OX=1532557	3:Protein inferred from homology	Glutamine synthetase	0.988	0.9983	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"tr|A0A0D6HJ25|A0A0D6HJ25_ALCXX, tr|A0A0M7PG71|A0A0M7PG71_9BURK, tr|A0A0M9IIW0|A0A0M9IIW0_ACHAE, tr|A0A0Q8BRT9|A0A0Q8BRT9_9BURK, tr|A0A0Q8XX87|A0A0Q8XX87_9BURK, tr|A0A0X8NW19|A0A0X8NW19_ALCXX, tr|A0A109Y2N5|A0A109Y2N5_ALCXX, tr|A0A176XPX9|A0A176XPX9_ALCXX, tr|A0A1N7R8X5|A0A1N7R8X5_9BURK, tr|A0A1R1JMP1|A0A1R1JMP1_ALCXX, tr|A0A246QD12|A0A246QD12_9BURK, tr|A0A2D0VNB2|A0A2D0VNB2_ALCXX, tr|A0A2I8DLF5|A0A2I8DLF5_9BURK, tr|A0A2N8KPH5|A0A2N8KPH5_9BURK, tr|A0A2S5GSL4|A0A2S5GSL4_9BURK, tr|A0A2S8V9J7|A0A2S8V9J7_9BURK, tr|A0A3Q9KKN0|A0A3Q9KKN0_9BURK, tr|A0A3R9G2D0|A0A3R9G2D0_ACHDE, tr|A0A3S4NBD7|A0A3S4NBD7_9BURK, tr|A0A424WFB5|A0A424WFB5_ALCXX, tr|A0A446CEX1|A0A446CEX1_9BURK, tr|A0A446CHM0|A0A446CHM0_9BURK, tr|A0A4Q1HNA1|A0A4Q1HNA1_9BURK, tr|A0A5N7ZIY7|A0A5N7ZIY7_9BURK, tr|A0A658A5H9|A0A658A5H9_ALCXX, tr|A0A6S6YQI8|A0A6S6YQI8_9BURK, tr|A0A6S6ZII7|A0A6S6ZII7_9BURK, tr|A0A6S7BNT0|A0A6S7BNT0_9BURK, tr|A0A6S7CXS2|A0A6S7CXS2_9BURK, tr|A0A6S7DQP5|A0A6S7DQP5_9BURK, tr|A0A6S7EZT0|A0A6S7EZT0_9BURK, tr|A0A7D4E0P2|A0A7D4E0P2_9BURK, tr|A0A7X9VX47|A0A7X9VX47_9BURK, tr|E3HHW7|E3HHW7_ACHXA, tr|H0FB90|H0FB90_9BURK, tr|J4J965|J4J965_9BURK"
tr|A0A095UMS5|A0A095UMS5_9BURK	A0A095UMS5	A0A095UMS5_9BURK	groEL	546	Achromobacter sp. RTa OX=1532557	3:Protein inferred from homology	Chaperonin GroEL	0.9946	0.9835	3	1	0	4	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	"tr|A0A0L8EU93|A0A0L8EU93_9BURK, tr|A0A0M7DG89|A0A0M7DG89_9BURK, tr|A0A0M7F384|A0A0M7F384_ACHAE, tr|A0A176XTB2|A0A176XTB2_ALCXX, tr|A0A1N7PKR5|A0A1N7PKR5_9BURK, tr|A0A2I8DS55|A0A2I8DS55_9BURK, tr|A0A2N8KH96|A0A2N8KH96_9BURK, tr|A0A3R9G240|A0A3R9G240_ACHDE, tr|A0A4Q1HLQ1|A0A4Q1HLQ1_9BURK, tr|A0A6S6Z149|A0A6S6Z149_9BURK, tr|A0A6S6ZJN8|A0A6S6ZJN8_9BURK, tr|A0A6S7AB88|A0A6S7AB88_9BURK, tr|A0A6S7C3J5|A0A6S7C3J5_9BURK, tr|A0A6S7CGX1|A0A6S7CGX1_9BURK, tr|A0A6S7D3A8|A0A6S7D3A8_9BURK, tr|A0A6S7EXN1|A0A6S7EXN1_9BURK, tr|A0A7D4I138|A0A7D4I138_9BURK, tr|H0F8N5|H0F8N5_9BURK, tr|J4Y0J6|J4Y0J6_9BURK"
tr|A0A095VJN5|A0A095VJN5_9BURK	A0A095VJN5	A0A095VJN5_9BURK	rplE	179	Achromobacter sp. RTa OX=1532557	3:Protein inferred from homology	50S ribosomal protein L5	0.9925	0.9989	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	2.73E+07	0	0	0	"tr|A0A0A8F4V9|A0A0A8F4V9_NEIME, tr|A0A0B5CFC4|A0A0B5CFC4_NEIEG, tr|A0A0D6IWT2|A0A0D6IWT2_ALCXX, tr|A0A0J1C3E0|A0A0J1C3E0_9NEIS, tr|A0A0L0R5Y0|A0A0L0R5Y0_9BURK, tr|A0A0L8EUB7|A0A0L8EUB7_9BURK, tr|A0A0M7L5N7|A0A0M7L5N7_ACHAE, tr|A0A0P7JAA3|A0A0P7JAA3_9NEIS, tr|A0A0T7L2A5|A0A0T7L2A5_NEIME, tr|A0A125WFF6|A0A125WFF6_NEIME, tr|A0A1D3EIV3|A0A1D3EIV3_NEIGO, tr|A0A1F1SIR6|A0A1F1SIR6_9NEIS, tr|A0A1V0DS01|A0A1V0DS01_NEILA, tr|A0A1X3CRN6|A0A1X3CRN6_9NEIS, tr|A0A1X3DE06|A0A1X3DE06_9NEIS, tr|A0A1X3DGW5|A0A1X3DGW5_9NEIS, tr|A0A220S0U1|A0A220S0U1_9NEIS, tr|A0A246Q3G7|A0A246Q3G7_9BURK, tr|A0A2I1XEC1|A0A2I1XEC1_NEISI, tr|A0A2I8DD59|A0A2I8DD59_9BURK, tr|A0A2N8KCA4|A0A2N8KCA4_9BURK, tr|A0A2P7U234|A0A2P7U234_9NEIS, tr|A0A2S0IFB1|A0A2S0IFB1_9BURK, tr|A0A378U1H6|A0A378U1H6_NEIEL, tr|A0A378ULD3|A0A378ULD3_BERDE, tr|A0A379B0S6|A0A379B0S6_NEIGO, tr|A0A3N4MVY8|A0A3N4MVY8_9NEIS, tr|A0A3S4ZLY3|A0A3S4ZLY3_9NEIS, tr|A0A3S5BWG6|A0A3S5BWG6_9FIRM, tr|A0A424FKF7|A0A424FKF7_NEIME, tr|A0A4Q1HGX3|A0A4Q1HGX3_9BURK, tr|A0A4Y9GIA0|A0A4Y9GIA0_9NEIS, tr|A0A5J6PVZ6|A0A5J6PVZ6_9NEIS, tr|A0A5P3MRA6|A0A5P3MRA6_NEIAN, tr|A0A5Q3RZE0|A0A5Q3RZE0_9NEIS, tr|A0A6S6ZAK1|A0A6S6ZAK1_9BURK, tr|A0A6S6ZH82|A0A6S6ZH82_9BURK, tr|A0A6S7A5V9|A0A6S7A5V9_9BURK, tr|A0A6S7F159|A0A6S7F159_9BURK, tr|A0A7D4DXG8|A0A7D4DXG8_9BURK, tr|A0A7T3ETI3|A0A7T3ETI3_NEICI, tr|A0A8E1QIJ9|A0A8E1QIJ9_NEIGO, tr|B4RQY9|B4RQY9_NEIG2, tr|C6M7F7|C6M7F7_NEISI, tr|D2ZX00|D2ZX00_NEIMU, tr|D4DRN6|D4DRN6_NEIEG, tr|E3HSY4|E3HSY4_ACHXA, tr|X5ELY9|X5ELY9_NEIME"
tr|A0A095WF26|A0A095WF26_9BURK	A0A095WF26	A0A095WF26_9BURK	mdh	329	Achromobacter sp. RTa OX=1532557	3:Protein inferred from homology	Malate dehydrogenase	0.9918	0.9988	1	4	0	4	2	1	1	0	0	0	2	1	1	1.13E+07	3.41E+07	2.94E+07	0	0	0	"tr|A0A0D6GLZ9|A0A0D6GLZ9_ALCXX, tr|A0A0Q8BC07|A0A0Q8BC07_9BURK, tr|A0A176XUY2|A0A176XUY2_ALCXX, tr|A0A179TQU7|A0A179TQU7_ALCXX, tr|A0A1F1SJN4|A0A1F1SJN4_9NEIS, tr|A0A1N7QU87|A0A1N7QU87_9BURK, tr|A0A1X3CSV6|A0A1X3CSV6_9NEIS, tr|A0A1X3DG77|A0A1X3DG77_9NEIS, tr|A0A1X3DKS3|A0A1X3DKS3_9NEIS, tr|A0A246Q1I6|A0A246Q1I6_9BURK, tr|A0A2I8DHQ0|A0A2I8DHQ0_9BURK, tr|A0A2S8VKZ4|A0A2S8VKZ4_9BURK, tr|A0A378TU79|A0A378TU79_NEIEL, tr|A0A378WHA1|A0A378WHA1_9NEIS, tr|A0A3C1Y3S8|A0A3C1Y3S8_9BURK, tr|A0A3S5BVP9|A0A3S5BVP9_9NEIS, tr|A0A424W6K1|A0A424W6K1_ALCXX, tr|A0A448VI65|A0A448VI65_9NEIS, tr|A0A4V1MRE4|A0A4V1MRE4_9BURK, tr|A0A4Y9GGS4|A0A4Y9GGS4_9NEIS, tr|A0A5J6PSN7|A0A5J6PSN7_9NEIS, tr|A0A5N7ZQG4|A0A5N7ZQG4_9BURK, tr|A0A6S6Z473|A0A6S6Z473_9BURK, tr|A0A6S6ZLL7|A0A6S6ZLL7_9BURK, tr|A0A6S6ZNU4|A0A6S6ZNU4_9BURK, tr|A0A6S7CN92|A0A6S7CN92_9BURK, tr|A0A6S7CTT0|A0A6S7CTT0_9BURK, tr|A0A6S7FHW0|A0A6S7FHW0_9BURK, tr|A0A7D4DV31|A0A7D4DV31_9BURK, tr|A0A7D7N427|A0A7D7N427_9NEIS, tr|A0A7H1ME65|A0A7H1ME65_9NEIS, tr|A0A7X9ZF69|A0A7X9ZF69_9BURK, tr|F2BE31|F2BE31_9NEIS, tr|F7T3N2|F7T3N2_9BURK, tr|G4CG30|G4CG30_9NEIS, tr|H8L421|H8L421_FRAAD, tr|L1NU17|L1NU17_9NEIS"
tr|A0A095WFU1|A0A095WFU1_9FUSO	A0A095WFU1	A0A095WFU1_9FUSO	FSAG_002010	188	Fusobacterium periodonticum 2_1_31 OX=469599	3:Protein inferred from homology	Alkyl hydroperoxide reductase C	1	0.9985	2	4	0	4	2	0	2	0	0	0	2	0	2	4671798	0	1.84E+07	0	0	0	"tr|A0A2D3NYR6|A0A2D3NYR6_9FUSO, tr|A0A2D3PNQ0|A0A2D3PNQ0_9FUSO, tr|A0A2G9ECI8|A0A2G9ECI8_9FUSO, tr|A0A2G9EFW9|A0A2G9EFW9_9FUSO, tr|D4CVV7|D4CVV7_9FUSO, tr|G6C1Q1|G6C1Q1_9FUSO"
tr|A0A095XBS6|A0A095XBS6_9BURK	A0A095XBS6	A0A095XBS6_9BURK	gltA	436	Achromobacter sp. RTa OX=1532557	3:Protein inferred from homology	Citrate synthase	1	0.9989	1	2	0	2	1	0	1	0	0	0	1	0	1	4802230.5	1.21E+07	1.61E+07	0	0	0	"tr|A0A0D6GP20|A0A0D6GP20_ALCXX, tr|A0A0L8ETC9|A0A0L8ETC9_9BURK, tr|A0A0M7CYH9|A0A0M7CYH9_ACHAE, tr|A0A0M7EU96|A0A0M7EU96_9BURK, tr|A0A109Y3C8|A0A109Y3C8_ALCXX, tr|A0A176XWT1|A0A176XWT1_ALCXX, tr|A0A1N7QU63|A0A1N7QU63_9BURK, tr|A0A1R1JVD8|A0A1R1JVD8_ALCXX, tr|A0A246Q1J0|A0A246Q1J0_9BURK, tr|A0A2I8DHQ1|A0A2I8DHQ1_9BURK, tr|A0A2N8KFR0|A0A2N8KFR0_9BURK, tr|A0A2S5GUN8|A0A2S5GUN8_9BURK, tr|A0A2S8VKY9|A0A2S8VKY9_9BURK, tr|A0A3C1XVD0|A0A3C1XVD0_9BURK, tr|A0A3R9MKN0|A0A3R9MKN0_ACHDE, tr|A0A424W6P9|A0A424W6P9_ALCXX, tr|A0A4Q1HD00|A0A4Q1HD00_9BURK, tr|A0A5N7ZTS1|A0A5N7ZTS1_9BURK, tr|A0A6S6ZH08|A0A6S6ZH08_9BURK, tr|A0A6S7CQ22|A0A6S7CQ22_9BURK, tr|A0A6S7F9U8|A0A6S7F9U8_9BURK, tr|A0A7D4DVD0|A0A7D4DVD0_9BURK, tr|A0A7X9W6G6|A0A7X9W6G6_9BURK, tr|A0A811H0S3|A0A811H0S3_9BURK, tr|A0A854PZJ2|A0A854PZJ2_9BURK, tr|H0F5V7|H0F5V7_9BURK, tr|J4YPP7|J4YPP7_9BURK"
tr|A0A095XG08|A0A095XG08_9BURK	A0A095XG08	A0A095XG08_9BURK	tuf	396	Achromobacter sp. RTa OX=1532557	3:Protein inferred from homology	Elongation factor Tu	0.9897	0.9891	2	1	0	2	1	0	0	0	0	0	2	0	0	1.92E+07	4.17E+07	4.12E+07	0	0	0	"tr|A0A0D6IVR1|A0A0D6IVR1_ALCXX, tr|A0A0D6IW09|A0A0D6IW09_ALCXX, tr|A0A0L6IDB4|A0A0L6IDB4_9BURK, tr|A0A0M7MKB0|A0A0M7MKB0_ACHAE, tr|A0A0M7PM82|A0A0M7PM82_9BURK, tr|A0A0Q8X543|A0A0Q8X543_9BURK, tr|A0A0X8P177|A0A0X8P177_ALCXX, tr|A0A109XX44|A0A109XX44_ALCXX, tr|A0A176XTY5|A0A176XTY5_ALCXX, tr|A0A1N7QC95|A0A1N7QC95_9BURK, tr|A0A2I8DE62|A0A2I8DE62_9BURK, tr|A0A2S0IFB3|A0A2S0IFB3_9BURK, tr|A0A366G304|A0A366G304_9BURK, tr|A0A3S4WEW0|A0A3S4WEW0_9BURK, tr|A0A427X0C1|A0A427X0C1_ACHDE, tr|A0A446C2X2|A0A446C2X2_9BURK, tr|A0A4V1MRV7|A0A4V1MRV7_9BURK, tr|A0A5K4YWU9|A0A5K4YWU9_ALCXX, tr|A0A658AFP0|A0A658AFP0_ALCXX, tr|A0A6J5BVU0|A0A6J5BVU0_9BURK, tr|A0A6S6ZCS2|A0A6S6ZCS2_9BURK, tr|A0A6S6ZLP4|A0A6S6ZLP4_9BURK, tr|A0A6S7CDP7|A0A6S7CDP7_9BURK, tr|A0A7T4E4F3|A0A7T4E4F3_9BURK, tr|A0A811GPF3|A0A811GPF3_9BURK, tr|A0A8G1TYB2|A0A8G1TYB2_9BURK, tr|E3HT08|E3HT08_ACHXA"
tr|A0A095XG18|A0A095XG18_9BURK	A0A095XG18	A0A095XG18_9BURK	rpoC	1414	Achromobacter sp. RTa OX=1532557	3:Protein inferred from homology	DNA-directed RNA polymerase subunit beta'	0.9999	0.9975	3	5	0	5	2	2	1	0	0	0	2	2	1	8991584	9.55E+07	1.04E+08	0	3.81E+07	3.85E+07	"tr|A0A0D6IWF6|A0A0D6IWF6_ALCXX, tr|A0A0M7M414|A0A0M7M414_9BURK, tr|A0A0M7MF11|A0A0M7MF11_ALCXX, tr|A0A0M7MLA1|A0A0M7MLA1_ACHAE, tr|A0A0Q8BHL4|A0A0Q8BHL4_9BURK, tr|A0A0Q8WYB2|A0A0Q8WYB2_9BURK, tr|A0A0X8P181|A0A0X8P181_ALCXX, tr|A0A0X8PDQ3|A0A0X8PDQ3_ALCXX, tr|A0A176XU59|A0A176XU59_ALCXX, tr|A0A1N7QC39|A0A1N7QC39_9BURK, tr|A0A1R1K176|A0A1R1K176_ALCXX, tr|A0A246PYC1|A0A246PYC1_9BURK, tr|A0A2I8DE75|A0A2I8DE75_9BURK, tr|A0A2N8KC19|A0A2N8KC19_9BURK, tr|A0A2S0IFI9|A0A2S0IFI9_9BURK, tr|A0A2S5GW60|A0A2S5GW60_9BURK, tr|A0A2S8VIV8|A0A2S8VIV8_9BURK, tr|A0A3Q9KQN3|A0A3Q9KQN3_9BURK, tr|A0A424W4S9|A0A424W4S9_ALCXX, tr|A0A427X0A7|A0A427X0A7_ACHDE, tr|A0A446C2Y3|A0A446C2Y3_9BURK, tr|A0A446D1F5|A0A446D1F5_9BURK, tr|A0A448C570|A0A448C570_9BURK, tr|A0A4Q1HGV9|A0A4Q1HGV9_9BURK, tr|A0A4Y3TMR3|A0A4Y3TMR3_9PROT, tr|A0A6S6Z8P4|A0A6S6Z8P4_9BURK, tr|A0A6S6ZL32|A0A6S6ZL32_9BURK, tr|A0A6S7AEI8|A0A6S7AEI8_9BURK, tr|A0A6S7B9Z9|A0A6S7B9Z9_9BURK, tr|A0A6S7C1K3|A0A6S7C1K3_9BURK, tr|A0A6S7CFV4|A0A6S7CFV4_9BURK, tr|A0A6S7DBA4|A0A6S7DBA4_9BURK, tr|A0A6S7E4N0|A0A6S7E4N0_9BURK, tr|A0A6S7FA60|A0A6S7FA60_9BURK, tr|A0A7D4HT97|A0A7D4HT97_9BURK, tr|A0A7T4B672|A0A7T4B672_9BURK, tr|A0A7W4I7N2|A0A7W4I7N2_GLUDI, tr|A0A7X9VYL5|A0A7X9VYL5_9BURK, tr|A0A811GLB9|A0A811GLB9_9BURK, tr|A0A848NI01|A0A848NI01_9BURK, tr|E3HT18|E3HT18_ACHXA, tr|H0F076|H0F076_9BURK, tr|J4P4L2|J4P4L2_9BURK"
tr|A0A095Y2A9|A0A095Y2A9_9ACTO	A0A095Y2A9	A0A095Y2A9_9ACTO	tuf	396	Actinomyces sp. S6-Spd3 OX=1284680	3:Protein inferred from homology	Elongation factor Tu	1	0.994	4	2	1	4	0	0	2	0	0	1	2	0	2	1377451.2	6950807.5	2.09E+07	0	0	0	
tr|A0A0A0MSI0|A0A0A0MSI0_HUMAN	A0A0A0MSI0	A0A0A0MSI0_HUMAN	PRDX1	171	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peroxiredoxin-1 (Fragment)	1	0.999	17	42	1	42	23	8	11	1	0	0	23	8	11	4.52E+09	4.41E+09	3.94E+09	1.26E+09	1.25E+09	1.16E+09	
tr|A0A0A2XHW3|A0A0A2XHW3_9PAST	A0A0A2XHW3	A0A0A2XHW3_9PAST	dnaK	639	Gallibacterium genomosp. 2 OX=155517	2:Experimental evidence at transcript level	Chaperone protein DnaK	0.9989	0.9862	1	1	0	1	1	0	0	0	0	0	1	0	0	2936050.2	0	0	0	0	0	"tr|A0A0A2XJ98|A0A0A2XJ98_9PAST, tr|A0A0A2YG69|A0A0A2YG69_9PAST, tr|A0A0A3ALG1|A0A0A3ALG1_9PAST, tr|A0A0E3C7X8|A0A0E3C7X8_9PAST, tr|A0A1A7NQR8|A0A1A7NQR8_9PAST, tr|A0A1A7P2Y1|A0A1A7P2Y1_9PAST, tr|A0A1A7P4W2|A0A1A7P4W2_9PAST, tr|A0A1A7PNM5|A0A1A7PNM5_9PAST, tr|A0A1A7Q2U6|A0A1A7Q2U6_9PAST, tr|A0A1A7Q4E0|A0A1A7Q4E0_9PAST, tr|A0A263JAC3|A0A263JAC3_9PAST, tr|A0A377H475|A0A377H475_9PAST, tr|A0A837CVJ5|A0A837CVJ5_9PAST, tr|U1I465|U1I465_9PAST"
tr|A0A0A8F1J0|A0A0A8F1J0_NEIME	A0A0A8F1J0	A0A0A8F1J0_NEIME	N875_00480	561	Neisseria meningitidis LNP21362 OX=1386087	3:Protein inferred from homology	30S ribosomal protein S1	0.8859	0.9819	1	1	0	1	0	0	1	0	0	0	0	0	1	3178967	0	3.99E+07	0	0	0	"tr|A0A0G4C0N1|A0A0G4C0N1_NEIME, tr|A0A0H5QSQ9|A0A0H5QSQ9_NEIMI, tr|A0A0P7JCG5|A0A0P7JCG5_9NEIS, tr|A0A0U1RJ75|A0A0U1RJ75_NEIMA, tr|A0A0Y6SXC1|A0A0Y6SXC1_NEIME, tr|A0A1V0DV55|A0A1V0DV55_NEILA, tr|A0A1X3CQ06|A0A1X3CQ06_9NEIS, tr|A0A1X3D789|A0A1X3D789_9NEIS, tr|A0A1X3DIP5|A0A1X3DIP5_9NEIS, tr|A0A220S5G4|A0A220S5G4_9NEIS, tr|A0A2I1XAA5|A0A2I1XAA5_NEISI, tr|A0A378VNL5|A0A378VNL5_NEIME, tr|A0A378VXM5|A0A378VXM5_NEIGO, tr|A0A378WHY7|A0A378WHY7_9NEIS, tr|A0A3S4YAI5|A0A3S4YAI5_9NEIS, tr|A0A448D8J5|A0A448D8J5_9NEIS, tr|A0A4D7WYB4|A0A4D7WYB4_NEISU, tr|A0A4T9VUZ0|A0A4T9VUZ0_NEIGO, tr|A0A4Y9GF74|A0A4Y9GF74_9NEIS, tr|A0A5J6PXP2|A0A5J6PXP2_9NEIS, tr|A0A5Q3NKS8|A0A5Q3NKS8_NEIME, tr|A0A6G7AIL8|A0A6G7AIL8_NEIGO, tr|A0A7T3ETA3|A0A7T3ETA3_NEICI, tr|A0A7U8ZIS4|A0A7U8ZIS4_NEIGO, tr|A0A837C157|A0A837C157_NEIMU, tr|A0A8D9VU21|A0A8D9VU21_NEIGO, tr|A0A8D9YF17|A0A8D9YF17_NEIGO, tr|A0A8E2CE28|A0A8E2CE28_NEIME, tr|A0A8E2QJA7|A0A8E2QJA7_NEIME, tr|A0A8F7TET3|A0A8F7TET3_NEISI, tr|A1KUC9|A1KUC9_NEIMF, tr|A9LZM9|A9LZM9_NEIM0, tr|B4RMF3|B4RMF3_NEIG2, tr|C6M6L2|C6M6L2_NEISI, tr|C6S7E2|C6S7E2_NEIML, tr|C6SCP1|C6SCP1_NEIME, tr|D0W173|D0W173_NEICI, tr|D0W8W2|D0W8W2_NEILA, tr|D6H7D4|D6H7D4_NEIGO, tr|E0N8J0|E0N8J0_NEIME, tr|E3D5H5|E3D5H5_NEIM7, tr|E4ZDC5|E4ZDC5_NEIL0, tr|F2BFH6|F2BFH6_9NEIS, tr|G4CSI2|G4CSI2_9NEIS"
tr|A0A0A8F4W7|A0A0A8F4W7_NEIME	A0A0A8F4W7	A0A0A8F4W7_NEIME	rpsE	172	Neisseria meningitidis LNP21362 OX=1386087	3:Protein inferred from homology	30S ribosomal protein S5	0.9311	0.9895	1	1	0	1	1	0	0	0	0	0	1	0	0	2518171.8	0	1.71E+07	0	0	0	"tr|A0A0J1C3D6|A0A0J1C3D6_9NEIS, tr|A0A1V0DRZ4|A0A1V0DRZ4_NEILA, tr|A0A1X3CSA1|A0A1X3CSA1_9NEIS, tr|A0A1X3DEB8|A0A1X3DEB8_9NEIS, tr|A0A1X3DGR0|A0A1X3DGR0_9NEIS, tr|A0A2I1XED0|A0A2I1XED0_NEISI, tr|A0A2P7U251|A0A2P7U251_9NEIS, tr|A0A378UIW7|A0A378UIW7_BERDE, tr|A0A379B0J0|A0A379B0J0_NEIGO, tr|A0A3S4XU96|A0A3S4XU96_9NEIS, tr|A0A4Y9GGZ7|A0A4Y9GGZ7_9NEIS, tr|A0A5J6Q0U8|A0A5J6Q0U8_9NEIS, tr|A0A5P3LVQ1|A0A5P3LVQ1_NEIGO, tr|A0A5P3LY28|A0A5P3LY28_NEIGO, tr|A0A5P3MSA6|A0A5P3MSA6_NEIAN, tr|A0A7D7RUK5|A0A7D7RUK5_9NEIS, tr|A0A7H5FCX3|A0A7H5FCX3_NEIGO, tr|A0A7T3BLQ7|A0A7T3BLQ7_NEICI, tr|A0A837BZ86|A0A837BZ86_NEIMU, tr|E5DPT3|E5DPT3_NEIGO"
tr|A0A0A8F5E8|A0A0A8F5E8_NEIME	A0A0A8F5E8	A0A0A8F5E8_NEIME	rpmB	77	Neisseria meningitidis LNP21362 OX=1386087	3:Protein inferred from homology	50S ribosomal protein L28	0.9821	0.9974	1	1	0	1	1	0	0	0	0	0	1	0	0	1895353.2	0	1.18E+07	0	0	0	"tr|A0A0H5QBP7|A0A0H5QBP7_NEIMI, tr|A0A2P7U1E8|A0A2P7U1E8_9NEIS, tr|A0A8D9RZI5|A0A8D9RZI5_NEIGO, tr|B4RNP5|B4RNP5_NEIG2"
